title,release_date,overview,tagline,genres,keywords
Blumenthal,2013-08-03,"A comedy that follows the relatives of Harold Blumethal, a legendary playwright who made his career parodying his family in his work and died laughing at his own joke.",,Comedy,
Stardom Cinderella Tournament 2024,,"The 2024 Stardom Cinderella Tournament (スターダムシンデレラトーナメント2024, Sutādamushindereratōnamento 2024) is the ongoing tenth annual professional wrestling single-elimination tournament promoted by World Wonder Ring Stardom. The event will place between March 9 and 20, 2024",,,
Ralphie May: Imperfectly Yours,2013-02-23,"Comedian Ralphie May takes to the Las Vegas stage with his raw, rollicking take on men's fashion, racism, sex, and even waffles.",,Comedy,stand-up comedy
Rolling Down the Great Divide,1942-04-24,A ring of cattle thieves uses short-wave radio to communicate with each other. A trio of range detectives must find a way to capture the gang.,Hot Lead Is Splattered Across The Prairie When Bad-Men Get In Their Way,Western,marshal
Luktung Pha Lok,2003-01-18,"Payu is a humble countryside singer, but when he goes to Bangkok, he gets the chance to become a famous Luktung superstar. However, the glamorous life isn't quite what he expected and perhaps the life upcountry wasn't so bad after all.",,"Comedy, Music",
One More Try,2022-06-07,An experimental skate video that combines multiple failed trick attempts into the same moment as the successful landings.,An ode to effort.,Documentary,"skateboarding, skating"
Perfect,2015-11-15,"When a man realizes his girlfriend has been unfaithful to him, he resorts to revenge - and the love of a mannequin.",,,short film
To See,1982-06-18,"Film eyes open, blink and see, looking about with all-round vision. Shapes, lines and spaces are not constant but ebb and flow with the camera movement. This spherical view of things redefines geometry creating an almost four dimensional appearance which ultimately seems to turn space inside out.",,,
#Happy,2020-10-30,"The name is a combination of the two words Happy and App. The authors of the film try to imagine the phenomenon of social chaos, when people see the source of their happiness in social networks. Using the # sign means that the audience and the author of this film share this opinion. In the media, popularity is measured by the number of ""clicks"". Therefore, many so-called celebrities do ridiculous and radical things to attract the attention of the audience. The plot is based on several real stories that occurred on the Internet.",,Animation,
Jeg Har To Land,2005-01-01,"Adrian and Julian are brothers who move from Norway to Turkey, where they stay for six months. They have Turkish mother and Norwegian father. In this five-part documentary film, Adrian tells how it's to meet the Turkish culture, and how he gets to know it through school, new friends, dance and traveling.",,Documentary,
Disconnection Syndrome,2018-07-19,The spotlights represent the disconnection.,,Music,
Doubletime,2007-01-01,"Filmmaker Stephanie Johnes examines the hypercompetitive world of jumping rope, telling the story of two teams -- one inner-city African American and the other white suburban -- who each long to take home the title in an international competition.",,Documentary,
Cocked,,"""Matthew Suib’s montage of closeups from classic Westerns. Cutting from squinting gunmen to loaded holsters (and adjacent crotches), it’s a deadpan deconstruction of the showdown.""",,,
Whose Dog Is It Anyway?,2009-03-31,"A charming and comic New York tale about Emma, single, successful, and not a dog person, who gets stuck with a dog because her younger married sister is pregnant with twins and moving into a dog-free apartment. Her sister insists the dog is a good luck charm - he will help you find a man. And this turns out to be true... for Emma's assistant.",,Comedy,
Orbit,2023-05-14,"Using memories, photographs and an unexpected journey, Clea searches for a explanation for the trauma of family uprooting and the impact it causes on a generation to another.",,,
Bardo Blues,2019-05-03,Story of a mentally ill young man attempting to come to grips with his haunting past by seeking solace and understanding in the unfamiliar Eastern culture of Thailand.,,"Drama, Mystery",
The Picture of Christmas,2021-11-08,"Ember Morley, a graphic designer and aspiring storybook illustrator in Manhattan is surprised when she learns she has inherited her Grandmother’s Christmas tree farm. She heads back to her hometown of Willow Hill in order to sell it before Christmas, but the charming townspeople convince her to stay a little longer and help plan their annual Christmas Tree Festival. When forced to work with Brandon Hart, the farm’s handsome caretaker, Ember is reminded of the things she once wanted in life.",,"TV Movie, Comedy, Family, Romance",christmas
"Good Night, and Good Luck.",2005-09-16,The story of journalist Edward R. Murrow's stand against Senator Joseph McCarthy's anti-communist witch-hunts in the early 1950s.,We will not walk in fear of one another.,"Drama, History","government, communist, telecaster, political activism, politician, based on true story, anti-communism, mccarthyism, tv news anchor, 1950s, government witch hunt"
Départ de S. M. le Roi et de M. le Président pour la chasse à Rambouillet,1904-10-29,Departure from S. Mr. King and Mr. President to hunt in Rambouillet.,,,
Domingo,,A father and a son share a lunch in which nothing and everything happens.,,,
For Paloma,2022-11-03,"After the traumatic birth diagnosis of her new born daughter, Ally’s world is turned upside down. If only she had known the beauty of what was to come.",,Drama,
Gundam: Beyond,2020-03-20,"Gundam: Beyond is a short released in celebration of the 40th anniversary of Mobile Suit Gundam, is the last project to be screened on WALL-G alongside The Life-Sized Unicorn Gundam Statue at Diver City Tokyo Plaza’s Festival Plaza in Odaiba, Tokyo.",,,
Stranger on the Third Floor,1940-08-16,"Newspaper reporter Michael Ward plunges into a nightmare of guilt, fearing that his ""evidence"" has sentenced the wrong man to death.",,"Mystery, Thriller","film noir, b movie, wrongful conviction"
Untitled John Daly Biopic,,A biopic about John Daly's golf career,,,
The Water Dwellers,1963-01-01,"This short documentary introduces us to a town where no one pays rent: Simoom Sound in central British Columbia, where loggers live on sturdy river craft. Every week there are visitors: the general storekeeper, the flying postman and most importantly, the forest ranger, who is ever alert to the threat of fire.",,Documentary,"british columbia, short film"
Last Gasp: Sins and Murder,2024-02-01,"In Last Gasp: Sins & Murder, Damion, Rick, & Chris face hidden shadows testing their bonds. Each step forward unveils danger, revealing a twisted reality. It's not easy being gay and young.",,,
Mi firma en las paredes,,"Mixing documentary and fiction, Mi firma en las paredes is a portrait of the early days of Grafitti in Spain.",grafiti,,
Dead on Sight,1994-10-12,"A graduate student discovers her nightmares are actually visions of real-life murders committed by a man known as the Clock Killer. Joined by an unbelieving detective, she decides she must stop the killer herself, or become his next victim.",Her worst nightmares have just come true,"Mystery, Thriller",
Pissed on the Job,2004-01-14,"Experimental dramadoc about high-functioning alcoholics and problem drinking in the workplace. Based on the testimony of real people, with actors playing out their stories and the whole film mimicking the texture of a witty and gritty observational documentary.",,"Drama, Documentary",
Once Upon a Time There Was a Man,,Documentary film.,,,disability
Nesting Dolls,2019-04-24,"Nesting Dolls is a psychological thriller about the darker sides of us that can lie just beneath the surface. Tori, Britt, and Erica are sorority sisters who spend a week together at a river house. When near-catastrophe strikes, the three are forced against one another as sisters turn to enemies and their humanity and sanity spirals.",,Thriller,
"Close View of the 'Brooklyn,' Naval Parade",1898-09-20,"On Saturday morning, August 20, 1898, six grim battleships of Admiral Sampson's Squadron sailed into New York Harbor and up the Hudson to receive a welcome from the people and to fire a salute of victory in sight of the tomb of the great soldier-hero of another war [Ulysses Grant].",,,
The Prophecy,1995-09-01,"The angel Gabriel comes to Earth to collect a soul which will end the stalemated war in Heaven, and only a former priest and a little girl can stop him.","On ancient ground, at the edge of the world, an evil born in heaven is about to be unleashed on earth.","Horror, Fantasy, Thriller","angel, archangel gabriel"
The Choice 2016,2016-11-05,"An interwoven investigative biography of U.S. presidential candidates Hillary Clinton and Donald Trump that draws on dozens of interviews from those who know them best—friends and family, advisers and adversaries—as well as authors, journalists and political insiders.",,Documentary,"presidential election, political satire, usa politics"
Razorback,1984-04-19,In the Australian outback a vicious wild boar kills and causes havoc to a small community.,It's waiting outside and it can sense your fear. No nightmare will prepare you for it!,Horror,"australia, wild boar, animal attack, australian outback, animal horror"
The Light Between Us,2020-09-29,"In spite of Luke's attempts, Elle still hasn't responded to his love after two years. A trip to D.C. will shed light on the haunting shadows cramping this relationship.",,"Drama, Romance",
A Long Road to Tao,2024-04-05,"Inspired by a true story of best friends (Dayne and Lance) who mysteriously lose touch, then reunite when Dayne discovers that Lance is dying of AIDS. A journey ensues as spiritual enlightenment unfolds through sea, sand and nature, embracing acceptance of the inevitable death of his best friend and the rising of consciousness. A Long Road to Tao will encourage audiences to reach a depth of becoming water, facing fears and accepting the flow of love as love.",,Drama,"friendship, surfing, aids, hiv/aids epidemic"
Trapping The Bob Cat,1921-01-01,One of The Adventures of Bill and Bob shorts. The brothers set out from their camp to trap the destructive and predatory bobcat.,,Western,
The Adventures of Ford Fairlane,1990-07-11,"To the Los Angeles elite, Ford Fairlane is known as ""Mr. Rock 'n' Roll Detective."" This loudmouthed ladies' man serves an exclusive rock star clientele, who depend on his keen eye and smug discretion. So when a heavy-metal musician dies mid-concert, Fairlane is on the case before the lights come up. But things turn shocking when radio personality Johnny Crunch hires Fairlane to find a missing groupie mere hours before he is electrocuted live on air.",Kojak. Columbo. Dirty Harry. Wimps.,"Action, Comedy, Thriller, Crime, Mystery","rock 'n' roll, rock star, show business, heavy metal, murder, private detective"
D-Day to Berlin: A Newsnight Special,1985-05-07,"George Stevens's remarkable film is acclaimed by historians as the most important colour footage taken during the war. Milestones covered include the liberation of Paris, the link-up between the Russian and American armies on the River Elbe and the Allied capture of the Dachau concentration camp.",Documentary acclaimed as the most important colour footage taken during WWII,Documentary,"paris, france, concentration camp, world war ii, d-day"
Angel and Doll,2019-12-24,Angel and Doll,,,
Nabin Jatra,,,,,
Yankee Zulu,1993-12-01,"Two South African boys, one white, Rhino, and one black, Zulu, go their separate ways after an incident. Many years later, they meet up again as adults, when one, after living for years in the United States, is now a wanted criminal. The two end up being a part of a madcap chase involving a check for a large amount of lottery money, pursued by Gen. Diehard and Rhino's ex-wife Rowena, who was the cause of the rift between the two protagonists.",If the gods were crazy... now they're berserk.,Comedy,"slapstick comedy, disguise, old friends, prize money, interracial friendship"
The Strange Disappearance of the Bees,2010-05-18,,,Documentary,"nature, bee, bees"
Үлгэрийн хайр,,"Based on the novel 'Ride for Your Wife' by English writer Ray Cooney, the film features a cast of senior, middle-aged, and young comedians, as well as singers Anu and Kiwi. 'Love of a Fairy Tale' is a unique film that humorously portrays the conflicting views and mindsets of today's youth on love, and playfully demonstrates that if you are not careful with love, not everything you dream of will come true.",,,
Pure and Simple Volume 1,2013-02-05,"This live concert experience combines the Gaither Vocal Band's award-winning sound with a captivating collection of songs both old and new backed by beautiful acoustic instrumentation. With an all-star lineup of voices, the Gaither Vocal Band carries on a three-decade legacy of excellence with their signature harmonies, fresh arrangements and great songs, plus special guest appearances by The Booth Brothers and Joey &amp; Rory.","A Live Concert Event from Nashville, Tennessee",Music,gaither
Smithsonian Channel: Critter Quest,,Host Peter Schriemer takes viewers on a safari through their own backyard so kids can learn about the variety of wild life that live just outside of home.,bug out on a backyard safari!,,
Plantman,,"A man comes across a mysterious green being, who he then names ""Plantman"".",A plant is a man's best friend,,
The Kiss,1914-04-14,"Directed by Ulysses Davis, the screenplay was based on a story by Marc Edmund Jones. Long thought to have been a lost film, a copy was found and put on YouTube. The film is the only known surviving film in which director William Desmond Taylor appears as an actor. In 1964 Taylor's co-star Margaret Gibson, shortly before her death, reportedly confessed to having murdered him in 1921.",,Drama,
Kiti,1996-01-02,DIrected by David Achkar.,,,
Open Your Mouth and Say... Mr. Chi Pig,2010-12-10,"'Open Your Mouth And Say... Mr. Chi Pig' is a feature length documentary on the life and times of the enigmatic front man of punk band SNFU. The film tells the story of the prolific frontman through his own words, as well as appearances from some of the biggest names in the independent music industry.",,Documentary,
Bird Park,2013-03-31,"Documentary that takes you on a journey into the world of birds in Singapore's Jurong Bird Park, where you can explore the understated beauty of crowned pigeons, birds of paradise and other beautiful winged creatures.",,Documentary,
"Postcard from Sun City, Arizona",2004-05-01,Joshua Oppenheimer sets images of life in a retirement community in Arizona (as seen through television commercials) to a talk radio interview with a female convict extolling the benefits of her time on Sherriff Joe Arpaio's chain gang. It is two different kinds of sale jobs working at cross-purposes. Oppenheimer takes the luster off the idealistic advertising images through video distortion and electronic interference and cuts-up both the video and audio tracks until the weird poetry of the chain gang prisoner's lessons in life and death gives the commercial presentation a creepy disconnection from any kind of living ideal. It follows A BRIEF HISTORY OF PARADISE AS TOLD BY THE COCKROACHES and MARKET UPDATE as another sharp jab at consumerism as an illusory promise.,,Documentary,
Rocky Road,2001-02-14,This modern dramedy explores the problems and prejudices one interracial couple experiences from their families and society.,,"Drama, Romance",
Voice B Gone,1997-06-13,a Dave Wasson Cartoon,,Animation,
New Year's Concert 2011 - Vienna Philharmonic,,"One of the most anticipated events of the classical calendar, the Vienna Philharmonic's exquisite New Year's Concert brings the musicians of the prestigious orchestra together under the baton of a different influential conductor each year.  In the 2011 edition, the Vienna Philharmonic is joined by one of Austria's most celebrated artists, Franz Welser-Möst, renowned for his expertise in Austrian repertoire, especially the works of Anton Bruckner. For the occasion, of course, maestro and orchestra offer up a program full of light and air, far from the grandiose intensity of that Linz-born great. In addition to rousing waltzes and polkas by the Strauss dynasty—Johann Strauss Sr. and Jr., plus Eduard and Josef—we are treated to the first of Liszt's Mephisto Waltzes, as well as works by Joseph Lanner and Josef Hellmesberger Jr.",,,
Creating a King: Summoning a God,2017-07-18,This piece deals with the effects technology required to create K:SI's super-sized version of Kong.,,Documentary,
Azusa Street: The Movie,2006-12-12,"The actual written and/or testimonies of many of the major participants in the Topeka Outpouring (Parham, Ozman, etc.) and Welsh Revival (Evan Roberts, Meyer, etc.), as preludes to the Bonnie Brae Outbreak (Seymour, Lee, Shumway, Moore) and the Azusa Street Revival (C.H. Mason, E.S. Williams, G.B. Cashwell, John G. Lake, F.F. Bosworth, etc.) are dramatized",,History,
ΔΙΆΨΕΥΣΗ ΤΟΥ APIΣTOTEΛH,,,,,
The Tutor,2007-11-22,"Joe Gibbons plays Dr. Joe Baldwin, the self-styled child education expert who prepares Zoe from birth, for acceptance into a coveted gifted-only kindergarten program. What becomes evident is one man’s misguided quest to manipulate pitted against one child’s exuberant resistance to being controlled.",,,
Blink,2013-12-11,A man is visited by a mysterious figure after awakening from an intensive surgical procedure.,,,
Gold Constables,1981-05-15,"A large quantity of gold is stolen from the government, so undercover martial arts constables do there detective work to find out the culprits and the whereabouts of the bullion. Awesome fight scenes, choreographed by Hwang Kwo Chu, with a lot of innovative weapon work.",,Action,"gold, martial arts, kung fu, sword fight"
Esther Ponce Presents Flamenco Dreams,,"In this sultry flamenco performance, dancer and choreographer Esther Ponce re-creates all the drama of the immortal 1946 film Gilda (which landed star Rita Hayworth in the pantheon of sex goddesses). Through the magic of dance, Ponce and her supporting ensemble evoke Gilda's themes of seduction, jealousy and duplicity in a presentation that ignites the fire of the Spanish dance and showcases some world-class flamenco artists.",,,
The Brave,2019-03-29,In an Albanian town known for drug production and trafficking an elite group of cops set out to end the war waged against the local police.,Heroes will rise,"Action, Thriller, Crime","drug trafficking, albania, based on true story, cop, marijuana, infamy, deceit, narcotics"
Through Fire She Calls,2017-10-29,A WW1 sniper jeopardizes his life to rescue a mysterious P.O.W. who holds the secret key to finding a way back home.,,Science Fiction,
Flight Of The Ibis,1996-01-01,"Police hero Joe Cameron and his family begin to get threatened from an unknown source. As evidence begins to stack up against Joe for murder and corruption, he descends into the Caribbean drug underworld to clear his name.",,,
Horror Novelist,2019-08-06,He wrote horror stories about ghosts  I am a writer who likes to fantasize about himself.  One day there was a man named (Fang Chuan Hotel Room No. 701).  I received a mail. I want a director  The novel he was writing in order to get a script  Famous for being haunted to finish  We decided to visit this Fengchuan hotel for one night.  Whose words is it?  I asked to get only this room without listening.  It was strange when a witch arrived in this room  Among the supernatural events is information for his novel  Can you collect and come back out overnight?  Amid the haunting horrors of the unseen world  We must continue to see whether life will end.,,,
Weltklasse Kreisklasse,2013-04-17,The documentary accompanies the team of Genclikspor Recklinghausen during one season. It is one of over 50 Turkish football clubs active in the Ruhr region. The focus is on life off the pitch. Among the many protagonists are the manager of the club and a pensioner from the neighbourhood who is busy with the extension of the clubhouse.,,Documentary,
The Savanna,,The promise of the American Dream is real to one rural Peruvian family as they attempt to send their son to The United States to provide for them. The Savanna meditates on the archetypal movement of people and their dreams of a better life.,,Documentary,
Inside No. 9: Nine Lives Kat,,,,,
The Jefferson County Sound,,"The Blind Boys of Alabama, Fairfield Four, Birmingham Sunlights, Selvy Singers, Four Eagles and Delta-Aires, show their common roots in the traditional gospel quartet style that began in the coal mines and steel mills of Birmingham, Alabama in the early 1900s -- the down-home, way back, soulful, rocking rhythms of the Jefferson County Sound.",,,
Gun Law Justice,1949-03-13,"Jimmy Wakely befriends Hank Carrdigan, a former outlaw who has served his sentence and wants to go straight. Jimmy, after clearing Hank of a wrongful shooting charge, helps him get a job as an express messenger. Hank drives off some bandits in an attempted hold-up, but recognizes his son Tom as one of the bandits. A later robbery is blamed on Hank but Jimmy and his sidekick Cannonball Taylor bring in the real culprits and clear Hank's name.",Fast Fists A-Flyin'! Hot Lead A-Slingin'!... and Jimmy Wakely A-Singin'!,Western,"hold-up robbery, ex-con"
Your Self Image,1971-01-01,"A little boy finds a mirror man in his closet, who shows him the importance of perceiving yourself positively.",,,
It Hunts At Night,,"In May 2022, a commercial fishing vessel sunk off the coast of southern New Zealand. NZSAR continued to search for Noah Higgs for a further two weeks until the search was called off.",,,
Steve Coogan Live,1998-01-01,"Filmed at the Palace Theatre Manchester during Steve Coogan's 200 date sellout national tour, including a record breaking 10 week run at London's Lyceum Theatre, which played to over 350,000 ecstatic fans.",,,
The Witch Beneath the Sea,1959-11-27,A novelist comes under the spell of a beautiful woman who is rumored to be a legendary Amazon who lures men to their doom.,,Adventure,
Nature's Journey,2007-10-09,"Nature's Journey genre-bending mix of location filming, subtle computer-generated imagery, musical soundscapes and artistic graphic enhancements that draws you deep into the magical heart of our planet Earth.",,"Documentary, Animation",
"Staccato I, II, III",1989-01-01,"Love, sex and death in Paris. And why not? A series of three films, each built frame by frame but, depending on the subject, each using an individual structure. The whole series was done in the camera - nothing was cut, changed, arranged...",,,
Marionette Land,2020-10-30,"""Marionette Land"" is an intimate portrait into the wonderful world of Robert Brock, a man who lives above his own magical marionette theatre with his mother, Mary Lou. Brock creates and performs classic marionette shows for families as well as grown-up shows where he straps on his heels to become famous Hollywood divas of the past. But new personal and professional challenges emerge as Robert and Mary Lou struggle to keep the marionette theatre open while preparing to celebrate its 30th anniversary.",A legend in his own mind,Documentary,
The Queen Mary: Greatest Ocean Liner,2016-05-24,"Documentary exploring the eventful life of the Clyde-built ship, RMS Queen Mary, from a symbol of hope to a nation, to the floating hotel of today.",,Documentary,
Jet Stream,2013-06-08,"A TV weatherman tries to prove his theory that a series of unexplained catastrophes are the result of powerful winds found in the upper atmosphere coming down to ground level. His claims attract the attention of government scientists, who need his help to control the phenomena before it destroys all life on Earth (Locatetv.com)",It brings destruction at 500mph.,"Action, Adventure, Drama, Science Fiction, TV Movie",
Our Man Funk,,"When one old man is fed up with the crime in his city, he enlists his grandchildren and takes matters into his own hands.",,,
En Garde!,2017-01-01,"When a couple of boys on the school fencing team sneak out of school with the teams equipment, conflict and awesome sword fighting ensue!",,,
Yummo Spot,,"Corny lovebirds move to the sticks and experience big, wild, American love.",,,
The Method of Places,2019-10-26,A daughter tried to hold onto the memories of her father,,Drama,
According to Spencer,2001-11-02,A mail clerk at an advertising firm sets out to climb the corporate ladder and win the woman of his dreams.,"According to Spencer, She's the one... Everyone else thinks so too!","Comedy, Romance",
Group Portrait: Six Artists in Video,1978-04-11,"This is a documentary about video artists Bill & Louise Etra, Woody & Steina Vasulka, and Kit Fitzgerald & John Sanborn.",,Documentary,
Higher Ground,2007-07-01,"The cinematography is breathtaking but the unifying theme is lifestyle, the common bond that unites climbers around the globe. It's a year in the life. What motivates these athletes to court danger? Higher Ground celebrates mountain culture through the eyes of world-class climbers. The film focuses on these climbers' drive to explore, their passion for the mountains and the climbing lifestyle. From big wall first ascents in Zion, Utah and winter alpine ascents in the Canadian Rockies to big wall ski descents in coastal British Columbia, Higher Ground spotlights some of the continent's most inaccessible terrain and the people who thrive there. A lens into their boundary-breaking passion illustrates what mountain culture is: an obsession. Featuring: Mike Anderson, John Chilton, Audrey Gariepy, Phil Gruber, Shawn Huisman, Sean Isaac, Lisa Korthals, Guy Lacelle, Rob Owens, Ines Papert, Rob Pizem, Andrew Querner, Scott Semple, and Josh Wharton.",,"Adventure, Documentary","climbing, rock climbing"
Priya O Priya,1997-09-01,Two rich brothers have a crush on their driver's daughter. Who will end up winning the girl's heart?,,Drama,
Basilica,,"A visual essay on the stately St. Boniface Basilica in Winnipeg, Manitoba.",,,
Frontline: President Trump,2017-01-03,The key moments that helped shape President-elect Donald Trump.,,Documentary,"usa president, political satire"
Chronicles of Her,2020-12-10,"Anthology film. Five heroines from five different, yet similar worlds face social and systematic oppression and injustice. We follow their journeys as they struggle for hope and a better life.",,Drama,"woman director, women's rights"
Haye vs Mormeck,2007-11-10,A boxing fight.,,,boxing
The Waterboys: Live at Glastonbury 2015,2015-06-27,"For true believers, Mike Scott will always be the man who invented and defined 1980s stadium rock, and then bailed out just as U2 and Simple Minds were hitting their stride. He immersed himself in Irish folk music, releasing the rollicking Fisherman’s Blues and Room to Roam albums to huge acclaim. Since then he has recorded and toured often, under his own name and the band’s. He also set 20 of WB Yeats’s poems to music for a theatrical presentation called An Appointment With Mr. Yeats, so expect a broad range of very different musical ideas at what has to be their seventh Glastonbury, unless you count the three performances in 2007 separately, in which case it’s their ninth appearance at Worthy Farm.",,Music,"concert, folk music, music festival, pop music, irish music, the waterboys, alternative music, music, glastonbury, irish"
The Ringer,2013-09-21,A son is reunited with his long lost father for the first time. You might imagine it's time to discover everything about where he's come from and where he's going. But he's about to get a surprise...,,,
Empire State Express,1896-10-01,"The best-known ""name"" train of its day behind the most famous of all 4-4-0 locomotives, the 999---synonymous with speed in the early years of the century.",,Documentary,
2013 NBA Champions: Miami Heat,2013-07-30,"In June of 2012,  LeBron James, Dwyane Wade, Chris Bosh and the Miami Heat made good on a promise to deliver a championship to the basketball fans of South Florida.  It seemed unlikely that they would ever be able to match the drama and the intensity of that title run in an encore performance. But this was no ordinary basketball team.  From the opening night of the 2012-13 NBA season, the Heat were determined to prove that not only were they up for the daunting challenge to repeat as champs but they were also destined to become one of the most successful and celebrated teams in history. No one could have anticipated the breathtaking 27 game winning streak that would catapult the Miami Heat into one of the biggest stories of the year. And after sweeping the Milwaukee Bucks, dispatching the Chicago Bulls and outlasting the Indiana Pacers, Miami would take home their second consecutive title after an epic seven game series with the San Antonio Spurs.",,Documentary,"miami, florida, heat, champion, basketball, professional sports, nba, championship, basketball team"
Loving Angelique,2002-08-30,"Angelique's father dies in a fire and she moves in with her uncle and his family, but she has a dark secret.",Don’t underestimate a woman’s power…,Thriller,"sexploitation, erotic movie, thriller"
A Christmas Kiss II,2014-12-13,"At a Christmastime event, Jenna shares an impromptu, unforgettable kiss with the dashing billionaire, Cooper Montgomery. Unaware of his intentions and fearful of getting hurt in another relationship, Jenna vows to resist his charms, but begins to realize his affection is real as the two spend more time together.","This Christmas, expect the unexpected.","TV Movie, Romance","holiday, christmas"
Mauricio Lara vs. Josh Warrington II,2021-09-04,Josh Warrington has his chance at revenge when he faces Mauricio Lara in a huge rematch at Headingley Stadium.,,Action,boxing
Favre Returns,2015-12-03,"Brett Favre retiring as a Green Bay Packer in March 2008, only to un-retire a few months later to join the New York Jets, and then join the Packers' rival, the Minnesota Vikings, in 2009.",,Documentary,
Smack and Thistle,1991-04-20,"With a drug-addled lifestyle and a prison sentence firmly behind him, Abel is determined to go straight and stay clean... as soon as he's seen to one final heist. In the house that he burgles he comes across Elizabeth - rich, desperate, hopelessly addicted to a heroin and unconscious. Saving her from the clutched of an overdose, Abel stays out of compassion which eventually evolves into attraction. But when Abel takes on Elizabeth he also takes on her family. His resolution to go straight has to go on the back burner while he struggles against a drugs conspiracy that stretched from the slums of the East End to the Houses of Parliament.",,,
Two Weeks In,,"Two women dive into a whirlwind pandemic romance. But when life returns to normal, one must face her first queer relationship in the real world, while the other questions if their bond was an illusion.",,,
Zsolt Daranyi Jr. vs. Alejandro Barrera,2023-05-13,The vacant WBO Global Welterweight Championship is up for grabs when Hungarian Zsolt Daranyi takes on former light middleweight champion Alejandro Barrera.,,Action,boxing
Miss Carbón,,,,,
Manicure,2018-04-26,"After the unexpected death of his wife, a man struggles to deal with the aftermath under the eyes of the local villagers.",,Drama,
Kehlani: Tiny Desk Concert,2024-07-31,"Kehlani captivates the Tiny Desk with a soulful performance of hits like “Nights Like This,” “Distraction,” and “After Hours.” Blending raw talent with heartfelt advocacy, she delivers a set that’s as powerful as it is unforgettable. This performance highlights her journey and cements their place as a standout artist.",,Music,
One Copyright Strike to Rule Them All,2023-03-31,An introspecitve deep dive into one mans triumphant arc playing a video game.,"One Man, One Mission",Documentary,
Our Tradition,2000-09-20,"This family tale spans three generations of Chinese trying to understand and come to terms with life's changes. Middlesome relatives stir up a storm. The old and the young find themselves and their values developing and evolving, and new relationships come and go. The eldest family member, Guan, the son of a royal physician of the former Qing Dynasty, has also become a great physician who is able to predict the exact time of a patient's death. His ex-daughter-in-law, Yu, trained by him to be a physician, still stays with the family as his assistant. Her ex-husband, Jin, comes back from the USA with his new girlfriend, Jenny, a beautiful American who is doing a research on the death of Guangxu, the second last Emperor of Qing Dynasty who is Guan's father's patient. Jenny speaks fluent Mandarin, but she has a long way to go before understanding and getting accustomed to the Chinese tradition and mindset. On the other hand, Yu falls in love with her old friend who is a married man.",,Drama,
Sea Lounge,2005-01-01,"Take an exotic journey to a pristine ocean setting with this resplendent home theater experience featuring footage of the exquisite Maldives, a remote tropical paradise located in the Indian Ocean and revered by scuba divers. Set to a soothing soundtrack, the video captures the Maldives' sublime scenery, from tranquil emerald lagoons and splashing waterfalls to its amazing underwater sea life.",,,
Electric Blue Special: Girls in Uniform 5,1995-11-06,Women in uniform proceed to get out of uniform and into all kinds of sexy scrapes,,Documentary,
Live to Ride: Rolling Thunder,,"In 1901, 21-year-old William S. Harley first drew up plans for a small engine that would fit into a bicycle -- and an American classic was born. A must-see for motorcycle aficionados, this video takes viewers on the road as bikers from across the globe head to ""hog heaven"" -- Milwaukee, the birthplace of Harley-Davidson -- to celebrate Harley's 90th anniversary. With footage of special events and custom rides, what more could you ask for?",,,
The Brain Needs fixing,,The brain needs fixing,,,
Decay,1998-01-01,"A dentist's wife conspires the murder of her husband. The murder is carried out by a twisted serial killer that stalks and kills exotic women. Unknown to all are the dentist's connections to the Mafia. Now the Police, a Private investigator, and the Mafia hit men are all in on the chase.",When you make an enemy.....know who he is!,"Thriller, Mystery",
Say Hello to Yellow,2011-12-15,A small yellow object makes a child trapped in an illusion and pretense. The device that should serve to bring a much closer instead turned into farther the closeness. A innocent portrait on a modernity that arrogant and stutter.,,"Drama, Comedy",
Art and Life in Italy,1950-01-01,"Shows how classical Rome, the church, and the life and times of the people have influenced Italian artists. The Gates of Paradise by Ghiberti, the Arena Chapel in Padua. Giotto's frescoes, and other historic Italian monuments and works of art are pictured. For junior and senior high school, college, and adult groups.",,Documentary,"italy, art"
Murder on the Bluebell Line,1987-01-01,"Murder on the Bluebell Line features Sherlock Holmes and Dr. Watson investigating the mystery of the Piltdown Man, once thought to be the 'missing link' in the evolution of man, but revealed in the 1950s to be a fraud. -  a QED film for the BBC, made in 1987",,,
Crosswalk,2023-07-12,The story of the difference in the perception of time. The main character is rushing forward while the crowd is frozen waiting for the green traffic light.,,"Animation, Comedy",
"The Making of Desert Town, Asteroid City",2023-06-13,ASTEROID CITY takes place in a fictional American desert town circa 1955. Synopsis: The itinerary of a Junior Stargazer/Space Cadet convention (organized to bring together students and parents from across the country for fellowship and scholarly competition) is spectacularly disrupted by world-changing events.,Shot on Kodak,,
Кузнец Кова,,"The cruel Snake King tyranns the people, and only the brave blacksmith Kova dares to challenge him.",,,
State of the Art,2019-04-26,"An exhilarating journey of artistic discovery... 100,000 miles, 1,000 destinations in the search for 100 under-recognized American artists for one unforgettable exhibition. The curatorial team of Crystal Bridges Museum of American Art in Bentonville, Arkansas, crisscrossed the nation to find extraordinary contemporary art happening in unexpected places: the woods of North Carolina, the deserts of Nevada, the backstreets of Pittsburgh, the foothills of Arkansas, the riverbanks of New Orleans. The art and artists found by the Crystal Bridges team led to a groundbreaking exhibition of 227 works of contemporary art, many of which might otherwise have never been seen.",,,
